Transcription factor,Promoter,GENE NAME
AT5G61590,AT1G09610,GXM3
AT5G13910,AT1G09610,GXM3
AT3G06590,AT1G15950,"ATCCR1,CCR1,IRX4"
AT5G47220,AT1G15950,"ATCCR1,CCR1,IRX4"
AT4G37260,AT1G27440,"ATGUT1,GUT2,IRX10"
AT1G21910,AT1G27440,"ATGUT1,GUT2,IRX10"
AT1G06180,AT1G51680,4CL1
AT4G37260,AT1G51680,4CL1
AT1G21910,AT1G51680,4CL1
AT5G60850,AT1G51680,4CL1
AT1G77450,AT1G51680,4CL1
AT5G53950,AT1G51680,4CL1
AT3G02940,AT1G51680,4CL1
AT4G28110,AT1G51680,4CL1
AT3G15210,AT1G61820,BGLU46
AT5G13790,AT2G22420,PRX17
AT4G37260,AT2G28110,"FRA8,IRX7"
AT3G15210,AT2G30490,"ATC4H,C4H,CYP73A5,REF3"
AT1G21910,AT2G30490,"ATC4H,C4H,CYP73A5,REF3"
AT3G18400,AT2G30490,"ATC4H,C4H,CYP73A5,REF3"
AT3G25730,AT2G30490,"ATC4H,C4H,CYP73A5,REF3"
AT1G36060,AT2G37090,IRX9
AT2G23340,AT2G37090,IRX9
AT4G37260,AT2G37090,IRX9
AT3G15210,AT2G37090,IRX9
AT3G04060,AT2G37090,IRX9
AT3G02940,AT2G37090,IRX9
AT3G11580,AT2G37090,IRX9
AT1G06180,AT2G37090,IRX9
AT1G75490,AT2G38080,"ATLMCO4,IRX12,LAC4,LMCO4"
AT3G15210,AT2G38080,"ATLMCO4,IRX12,LAC4,LMCO4"
AT3G16770,AT2G38080,"ATLMCO4,IRX12,LAC4,LMCO4"
AT4G37260,AT2G38080,"ATLMCO4,IRX12,LAC4,LMCO4"
AT5G39610,AT2G38080,"ATLMCO4,IRX12,LAC4,LMCO4"
AT5G47220,AT2G38080,"ATLMCO4,IRX12,LAC4,LMCO4"
AT4G25470,AT2G40890,C3H
AT1G77450,AT2G40890,C3H
AT5G60850,AT2G40890,C3H
AT2G22430,AT2G40890,C3H
AT3G18400,AT2G40890,C3H
AT5G47220,AT3G10340,PAL4
AT3G60530,AT3G18660,"GUX1,PGSIP1"
AT4G37260,AT3G18660,"GUX1,PGSIP1"
AT1G21910,AT3G18660,"GUX1,PGSIP1"
AT4G37260,AT3G19450,"ATCAD4,CAD,CAD-C,CAD4"
AT5G12870,AT4G18780,"ATCESA8,CESA8,IRX1,LEW2"
AT4G37260,AT4G18780,"ATCESA8,CESA8,IRX1,LEW2"
AT5G39610,AT4G18780,"ATCESA8,CESA8,IRX1,LEW2"
AT5G47220,AT4G18780,"ATCESA8,CESA8,IRX1,LEW2"
AT5G53950,AT4G18780,"ATCESA8,CESA8,IRX1,LEW2"
AT1G79840,AT4G18780,"ATCESA8,CESA8,IRX1,LEW2"
AT5G13330,AT4G18780,"ATCESA8,CESA8,IRX1,LEW2"
AT5G25890,AT4G18780,"ATCESA8,CESA8,IRX1,LEW2"
AT1G62990,AT4G33330,"GUX2,PGSIP3"
AT4G37260,AT4G33330,"GUX2,PGSIP3"
AT4G28140,AT4G34050,CCoAOMT1
AT1G57560,AT4G36890,IRX14
AT1G79840,AT4G36890,IRX14
AT5G39610,AT4G36890,IRX14
AT5G53950,AT4G36890,IRX14
AT1G75490,AT4G36890,IRX14
AT3G15210,AT4G36890,IRX14
AT4G39780,AT4G36890,IRX14
AT5G47220,AT4G36890,IRX14
AT5G61590,AT5G15630,"COBL4,IRX6"
AT4G37260,AT5G15630,"COBL4,IRX6"
AT5G47230,AT5G15630,"COBL4,IRX6"
AT3G15210,AT5G15630,"COBL4,IRX6"
AT1G21910,AT5G15630,"COBL4,IRX6"
AT5G47220,AT5G15630,"COBL4,IRX6"
AT5G13910,AT5G15630,"COBL4,IRX6"
AT1G28370,AT5G15630,"COBL4,IRX6"
AT3G18400,AT5G15630,"COBL4,IRX6"
AT3G25730,AT5G15630,"COBL4,IRX6"
AT1G75490,AT5G15630,"COBL4,IRX6"
AT2G44940,AT5G15630,"COBL4,IRX6"
AT4G37260,AT5G17420,"ATCESA7,CESA7,IRX3,MUR10"
AT1G21910,AT5G17420,"ATCESA7,CESA7,IRX3,MUR10"
AT1G75490,AT5G17420,"ATCESA7,CESA7,IRX3,MUR10"
AT3G15210,AT5G17420,"ATCESA7,CESA7,IRX3,MUR10"
AT3G16770,AT5G17420,"ATCESA7,CESA7,IRX3,MUR10"
AT5G13330,AT5G17420,"ATCESA7,CESA7,IRX3,MUR10"
AT5G47220,AT5G17420,"ATCESA7,CESA7,IRX3,MUR10"
AT5G53950,AT5G17420,"ATCESA7,CESA7,IRX3,MUR10"
AT1G44830,AT5G17420,"ATCESA7,CESA7,IRX3,MUR10"
AT1G06180,AT5G17420,"ATCESA7,CESA7,IRX3,MUR10"
AT2G44940,AT5G17420,"ATCESA7,CESA7,IRX3,MUR10"
AT5G61420,AT5G17420,"ATCESA7,CESA7,IRX3,MUR10"
AT5G12870,AT5G17420,"ATCESA7,CESA7,IRX3,MUR10"
AT5G39610,AT5G17420,"ATCESA7,CESA7,IRX3,MUR10"
AT5G53950,AT5G44030,"CESA4,IRX5,NWS2"
AT5G47220,AT5G44030,"CESA4,IRX5,NWS2"
AT5G39610,AT5G44030,"CESA4,IRX5,NWS2"
AT5G12870,AT5G44030,"CESA4,IRX5,NWS2"
AT4G37260,AT5G44030,"CESA4,IRX5,NWS2"
AT1G75490,AT5G44030,"CESA4,IRX5,NWS2"
AT1G06180,AT5G48930,HCT
AT4G37260,AT5G48930,HCT
AT5G60850,AT5G48930,HCT
AT1G77450,AT5G48930,HCT
AT3G25730,AT5G48930,HCT
AT3G18400,AT5G49720,AtKOR1
AT1G75490,AT5G49720,AtKOR1
AT2G44940,AT5G49720,AtKOR1
AT4G37260,AT5G49720,AtKOR1
AT4G39780,AT5G49720,AtKOR1
AT1G44830,AT5G49720,AtKOR1
AT5G39610,AT5G49720,AtKOR1
AT1G44830,AT5G60020,"ATLAC17,LAC17"
AT4G37260,AT5G60020,"ATLAC17,LAC17"
AT1G56650,AT1G15950,"ATCCR1,CCR1,IRX4"
AT1G56650,AT1G51680,4CL1
AT1G56650,AT2G30490,"ATC4H,C4H,CYP73A5,REF3"
AT1G56650,AT2G37040,"ATPAL1,PAL1"
AT1G56650,AT2G37090,IRX9
AT1G56650,AT2G40890,"C3H, REF"
AT1G56650,AT3G19450,"ATCAD4,CAD,CAD-C,CAD4"
AT1G56650,AT4G18780,"ATCESA8,CESA8,IRX1,LEW2"
AT1G56650,AT4G34050,CCoAOMT1
AT1G56650,AT5G17420,"ATCESA7,CESA7,IRX3,MUR10"
AT1G56650,AT5G44030,"CESA4,IRX5,NWS2"
AT1G56650,AT5G48930,HCT